,PO_ID,Current Status,Relevant Timestamp,Days,Days Bucket,Delays,Delays Bucket,Today_Target_delay,Today_Target_delay Bucket
1090,PO373323PXIN-00017122,20. Pre Pickup Check,,16,15+,Missing,Missing,16,15+
1091,PO374039EVER-0000142,28. Telex Release Pending,,4,04-08,Missing,Missing,4,04-08
1092,PO374083KETT-0000636,28. Telex Release Pending,-1.0,6,04-08,-1.0,On-Track,6,04-08
1093,PO374199PXIP-00013013,28. Telex Release Pending,,4,04-08,Missing,Missing,4,04-08
1094,PO374220PXPR-0001694,29. Custom Clearance Pending,,14,09-15,Missing,Missing,14,09-15
1095,PO374229PXPX-0000287,19. Supplier Pickup Date Pending,,On-Track,On-Track,Missing,Missing,-2,On-Track
1096,PO374251ROLA-0000503,23. INB Creation Pending,,6,04-08,Missing,Missing,6,04-08
1097,PO374313BEGR-0004458,10. PRD Confirmation Pending,,30,15+,Missing,Missing,30,15+
1098,PO374339PXGU-0000211,29. Custom Clearance Pending,,Missing,Missing,Missing,Missing,Missing,Missing
1099,PO374364BAMO-0002745,26. BL Payment Pending - In Transit,,2,01-03,Missing,Missing,2,01-03
1100,PO375138HEYN-0000231,19. Supplier Pickup Date Pending,,2,01-03,Missing,Missing,2,01-03
1101,PO375195CHIL-0002221,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
1102,PO375288BAMO-00011615,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
1103,PO375295BEBA-0000271,24. Mark In-Transit Pending,,8,04-08,Missing,Missing,8,04-08
1104,PO375403PXPR-0000553,28. Telex Release Pending,,On-Track,On-Track,Missing,Missing,-5,On-Track
1105,PO375425PXWE-0000214,26. BL Payment Pending - In Transit,,4,04-08,Missing,Missing,4,04-08
1106,PO377198BOLT-0012238,09. Under Production,,On-Track,On-Track,Missing,Missing,-34,On-Track
1107,PO374196PXIN-00006115,18. FFW Booking Missing,-3.0,3,01-03,-3.0,On-Track,3,01-03
1108,PO374269TRIB-0000041,23. INB Creation Pending,,Missing,Missing,Missing,Missing,Missing,Missing
1109,PO374367BAMO-0002819,24. Mark In-Transit Pending,,3,01-03,Missing,Missing,3,01-03
1110,PO374372PXCR-0000461,26. BL Payment Pending - In Transit,,4,04-08,Missing,Missing,4,04-08
1111,PO374383PRCH-0002151,24. Mark In-Transit Pending,,7,04-08,Missing,Missing,7,04-08
1112,PO374873PXWE-0001531,23. INB Creation Pending,,5,04-08,Missing,Missing,5,04-08
1113,PO375218PARD-0000101,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
1114,PO375223BARV-0000011,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
1115,PO375305BOTA-00005912,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
1116,PO375362PINO_00000521,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
1117,PO375408PXPR-0001222,26. BL Payment Pending - In Transit,,5,04-08,Missing,Missing,5,04-08
1118,PO375410PXPR-0001168,24. Mark In-Transit Pending,,Missing,Missing,Missing,Missing,Missing,Missing
1119,PO375414PXPX-0000041,21. FOB Pickup Pending,,2,01-03,Missing,Missing,2,01-03
1120,PO3771652LBD-0001841,01. PO Approval Pending,-1.0,25,15+,-1.0,On-Track,25,15+
1121,PO377172AMAZ-0000401,09. Under Production,,On-Track,On-Track,Missing,Missing,-4,On-Track
1122,PO377212DONB-0002191,09. Under Production,,On-Track,On-Track,Missing,Missing,-12,On-Track
1123,PO377216EDEL-0000061,09. Under Production,,On-Track,On-Track,Missing,Missing,-24,On-Track
1124,PO377222ENOV-000021,09. Under Production,,On-Track,On-Track,Missing,Missing,-9,On-Track
1125,PO377295PLEM-0000121,18. FFW Booking Missing,,On-Track,On-Track,Missing,Missing,-1,On-Track
1126,PO377312PROB-0000041,09. Under Production,,On-Track,On-Track,Missing,Missing,-24,On-Track
1127,PO377341PXFU-0000601,05. PI Payment Pending,,3,01-03,Missing,Missing,3,01-03
1128,PO377357PXIP-0000182,10. PRD Confirmation Pending,,On-Track,On-Track,Missing,Missing,-2,On-Track
1129,PO377424VIIR_0000253,10. PRD Confirmation Pending,,1,01-03,Missing,Missing,1,01-03
1130,PO377439WWAF-0002121,09. Under Production,,On-Track,On-Track,Missing,Missing,-24,On-Track
1131,PO365798DONB-0000696,26. BL Payment Pending - In Transit,,On-Track,On-Track,Missing,Missing,-13,On-Track
1132,PO365921GOER-00046234,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
1133,PO365978HAPL-00002228,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
1134,PO366020HYDB - 00004343,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
1135,PO366052JEWE-0002356,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
1136,PO366196POWR-0002081,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
1137,PO366269REGA-0000042,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
1138,PO366470WWAF-0001571,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
1139,PO367305WHOL-0000252,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
1140,PO367410ICEB-0000031,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
1141,PO371982PXFU-00006910,20. Pre Pickup Check,,13,09-15,Missing,Missing,13,09-15
1142,PO372334AMZY-0000331,29. Custom Clearance Pending,,Missing,Missing,Missing,Missing,Missing,Missing
1143,PO372348BANA-0000971,29. Custom Clearance Pending,,Missing,Missing,Missing,Missing,Missing,Missing
1144,PO372373BOLT-0000206,26. BL Payment Pending - In Transit,,4,04-08,Missing,Missing,4,04-08
1145,PO372373BOLT-00123554,26. BL Payment Pending - In Transit,,2,01-03,Missing,Missing,2,01-03
1146,PO372373BOLT-00114761,26. BL Payment Pending - In Transit,,2,01-03,Missing,Missing,2,01-03
1147,PO372373BOLT-00124565,26. BL Payment Pending - In Transit,,2,01-03,Missing,Missing,2,01-03
1148,PO372373BOLT-001124104,26. BL Payment Pending - In Transit,,4,04-08,Missing,Missing,4,04-08
1149,PO372373BOLT-001158115,26. BL Payment Pending - In Transit,,4,04-08,Missing,Missing,4,04-08
1150,PO372397DONB-0000632,26. BL Payment Pending - In Transit,,On-Track,On-Track,Missing,Missing,-20,On-Track
1151,PO372559PXBW-0000015,29. Custom Clearance Pending,,Missing,Missing,Missing,Missing,Missing,Missing
1152,PO372640PXPX-0000034,26. BL Payment Pending - In Transit,,On-Track,On-Track,Missing,Missing,-2,On-Track
1153,PO372640PXPX-00049710,26. BL Payment Pending - In Transit,,On-Track,On-Track,Missing,Missing,-2,On-Track
1154,PO372738GOER-0002891,26. BL Payment Pending - In Transit,,On-Track,On-Track,Missing,Missing,-1,On-Track
1155,PO373258GYMK-0000092,22. Non FOB Pickup Pending,,1,01-03,Missing,Missing,1,01-03
1156,PO373323PXIN-0001586,20. Pre Pickup Check,,16,15+,Missing,Missing,16,15+
1157,PO373446BUNT-0000041,29. Custom Clearance Pending,,Missing,Missing,Missing,Missing,Missing,Missing
1158,PO373786PROB-0000461,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
1159,PO373867BRUN-00068712,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
1160,PO373877KIDZ-00001812,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
1161,PO373983BAMO-00013410,19. Supplier Pickup Date Pending,2.0,On track,On track,2.0,01-03,9,09-15
1162,PO374024DAZM-0001661,19. Supplier Pickup Date Pending,,1,01-03,Missing,Missing,1,01-03
1163,PO374084KETT-00013011,26. BL Payment Pending - In Transit,,On-Track,On-Track,Missing,Missing,-17,On-Track
1164,PO374174PXFU-00016311,29. Custom Clearance Pending,,Missing,Missing,Missing,Missing,Missing,Missing
1165,PO374199PXIP-0001302,22. Non FOB Pickup Pending,,On-Track,On-Track,Missing,Missing,-1,On-Track
1166,PO374220PXPR-0000192,29. Custom Clearance Pending,,14,09-15,Missing,Missing,14,09-15
1167,PO374229PXPX-00053210,30. Stock Delivery Pending,,On-Track,On-Track,Missing,Missing,-1,On-Track
1168,PO374270VDOM-0000982,29. Custom Clearance Pending,,On track,On track,Missing,Missing,14,09-15
1169,PO374874PXWE-0002794,23. INB Creation Pending,,On-Track,On-Track,Missing,Missing,0,On-Track
1170,PO375294BEAR-0001154,24. Mark In-Transit Pending,,6,04-08,Missing,Missing,6,04-08
1171,PO377238HAPP-0000132,05. PI Payment Pending,,6,04-08,Missing,Missing,6,04-08
1172,PO377258JEWE-0001621,09. Under Production,,On-Track,On-Track,Missing,Missing,-24,On-Track
1173,PO377353PXIN-0000832,09. Under Production,,On-Track,On-Track,Missing,Missing,-54,On-Track
1174,PO377367PXPR-0002681,06. Packaging Pending,,13,09-15,Missing,Missing,13,09-15
1175,PO377796PXHI-0000011,08. PRD Pending,,Missing,Missing,Missing,Missing,-4,On-Track
1176,PO365676BRUN-00053925,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
1177,PO365958HAMI-0001968,10. PRD Confirmation Pending,,1,1,Missing,Missing,327,15+
1178,PO366183PLEM-0000152,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
1179,PO366460WWAF-00003853,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
1180,PO367396HAMI-0004302,06. Packaging Pending,,428,15+,Missing,Missing,428,15+
1181,PO369360EDOU-0000698,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
1182,PO369508PXBA-0000952,32. Dispute - PO Closing Pending,,156,15+,Missing,Missing,156,15+
1183,PO371846BAMO-00016715,28. Telex Release Pending,,4,04-08,Missing,Missing,4,04-08
1184,PO371890EVER-0002355,29. Custom Clearance Pending,,14,09-15,Missing,Missing,14,09-15
1185,PO371894GRAC-0000071,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
1186,PO371950PRCH-0001733,22. Non FOB Pickup Pending,,1,01-03,Missing,Missing,1,01-03
1187,PO372346BANA-0000971,29. Custom Clearance Pending,,Missing,Missing,Missing,Missing,Missing,Missing
1188,PO372373BOLT-00120499,26. BL Payment Pending - In Transit,,2,01-03,Missing,Missing,2,01-03
1189,PO372373BOLT-001330112,26. BL Payment Pending - In Transit,,4,04-08,Missing,Missing,4,04-08
1190,PO372373BOLT-001196127,26. BL Payment Pending - In Transit,,4,04-08,Missing,Missing,4,04-08
1191,PO372392DDOX-0003614,29. Custom Clearance Pending,,Missing,Missing,Missing,Missing,Missing,Missing
1192,PO372392DDOX-0001865,29. Custom Clearance Pending,,Missing,Missing,Missing,Missing,Missing,Missing
1193,PO372429HAPL-0000161,29. Custom Clearance Pending,,Missing,Missing,Missing,Missing,Missing,Missing
1194,PO372480KITC-0000191,29. Custom Clearance Pending,,Missing,Missing,Missing,Missing,Missing,Missing
1195,PO372492LOCK-0000011,29. Custom Clearance Pending,,Missing,Missing,Missing,Missing,Missing,Missing
1196,PO372515PINO_0000163,29. Custom Clearance Pending,,Missing,Missing,Missing,Missing,Missing,Missing
1197,PO372525POWR-0006721,32. Dispute - PO Closing Pending,,4,04-08,Missing,Missing,4,04-08
1198,PO372600PXIN-00011010,24. Mark In-Transit Pending,,2,01-03,Missing,Missing,2,01-03
1199,PO372600PXIN-00014714,24. Mark In-Transit Pending,,2,01-03,Missing,Missing,2,01-03
1200,PO372640PXPX-00049913,26. BL Payment Pending - In Transit,,On-Track,On-Track,Missing,Missing,-2,On-Track
1201,PO372930GYMK-0000012,29. Custom Clearance Pending,,Missing,Missing,Missing,Missing,Missing,Missing
1202,PO373281LUMA-0001252,26. BL Payment Pending - In Transit,,On-Track,On-Track,Missing,Missing,-3,On-Track
1203,PO373323PXIN-00005931,20. Pre Pickup Check,,16,15+,Missing,Missing,16,15+
1204,PO373326PXIN-0000852,21. FOB Pickup Pending,,11,09-15,Missing,Missing,11,09-15
1205,PO373862KIDZ-00013633,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
1206,PO373864DAWH-00003627,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
1207,PO373978BAMO-0002222,24. Mark In-Transit Pending,,2,01-03,Missing,Missing,2,01-03
1208,PO374011BRUN-0007772,29. Custom Clearance Pending,,Missing,Missing,Missing,Missing,Missing,Missing
1209,PO374086KETT-0000261,29. Custom Clearance Pending,,Missing,Missing,Missing,Missing,Missing,Missing
1210,PO374094KNIT-0000011,26. BL Payment Pending - In Transit,,4,04-08,Missing,Missing,4,04-08
1211,PO374131POWR-0016265,26. BL Payment Pending - In Transit,,On-Track,On-Track,Missing,Missing,-1,On-Track
1212,PO374143PROB-0000034,16. CI Payment Pending,,4,04-08,Missing,Missing,4,04-08
1213,PO374146PROB-0000472,28. Telex Release Pending,-14.0,On-Track,On-Track,-14.0,On-Track,-7,On-Track
1214,PO374213PXPR-0000881,26. BL Payment Pending - In Transit,,5,04-08,Missing,Missing,5,04-08
1215,PO374224PXPX-0002321,22. Non FOB Pickup Pending,,On-Track,On-Track,Missing,Missing,-1,On-Track
1216,PO374364BAMO-0002779,26. BL Payment Pending - In Transit,,2,01-03,Missing,Missing,2,01-03
1217,PO375202STEAD-0000062,20. Pre Pickup Check,,6,04-08,Missing,Missing,6,04-08
1218,PO375305BOTA-00006715,21. FOB Pickup Pending,,7,04-08,Missing,Missing,7,04-08
1219,PO375305BOTA-00010716,21. FOB Pickup Pending,,7,04-08,Missing,Missing,7,04-08
1220,PO375392PXIN-0000502,09. Under Production,,On-Track,On-Track,Missing,Missing,-2,On-Track
1221,PO375408PXPR-0000081,26. BL Payment Pending - In Transit,,5,04-08,Missing,Missing,5,04-08
1222,PO375440VIIR_0000342,26. BL Payment Pending - In Transit,,On-Track,On-Track,Missing,Missing,-29,On-Track
1223,PO375445WWAF-0001621,19. Supplier Pickup Date Pending,,On-Track,On-Track,Missing,Missing,-2,On-Track
1224,PO375449ZORE-0000184,20. Pre Pickup Check,,10,09-15,Missing,Missing,10,09-15
1225,PO375465GOER-0002492,18. FFW Booking Missing,,1,01-03,Missing,Missing,1,01-03
1226,PO377195BIGT-0000212,18. FFW Booking Missing,-3.0,4,04-08,-3.0,On-Track,4,04-08
1227,PO377198BOLT-0013166,09. Under Production,,On-Track,On-Track,Missing,Missing,-34,On-Track
1228,PO377204BUNT-0000021,09. Under Production,,On-Track,On-Track,Missing,Missing,-27,On-Track
1229,PO377304POWR-0016262,09. Under Production,,On-Track,On-Track,Missing,Missing,-5,On-Track
1230,PO377353PXIN-00008423,09. Under Production,,On-Track,On-Track,Missing,Missing,-54,On-Track
1231,PO377382PXPX-0006501,06. Packaging Pending,,13,09-15,Missing,Missing,13,09-15
1232,PO377434WINB-0000011,14. SM Sign-Off Pending,,2,01-03,Missing,Missing,2,01-03
1233,PO377365PXPR-0000551,11. IM Sign-Off Pending,,3,01-03,Missing,Missing,3,01-03
1234,PO377398PXWE-0001781,10. PRD Confirmation Pending,,On-Track,On-Track,Missing,Missing,0,On-Track
1235,PO377410SLOK-0000052,09. Under Production,,On-Track,On-Track,Missing,Missing,-17,On-Track
1236,PO377429WHOL-0003042,08. PRD Pending,2.0,10,09-15,2.0,01-03,10,09-15
1237,PO377443ZORE-0000297,05. PI Payment Pending,,3,01-03,Missing,Missing,3,01-03
1238,PO359395M2B4-10025381,C. Shipped,Status C,Missing,Missing,,Missing,Missing,Missing
1239,PO360622AMZY-00011859,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
1240,PO360739DAWH-0003799,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
1241,PO363343DONB-0001713414,26. BL Payment Pending - In Transit,,On-Track,On-Track,Missing,Missing,-13,On-Track
1242,PO363436WWAF-00014923,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
1243,PO363624ATLA-000025120,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
1244,PO365583ATLA-0000152,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
1245,PO365597BARV-0000042,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
1246,PO365799DONB-0000662,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
1247,PO365840ENOV-000332,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
1248,PO365851EVER-0000572,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
1249,PO365906GOER-000274660,26. BL Payment Pending - In Transit,,4,04-08,Missing,Missing,4,04-08
1250,PO366102KITC-0000021,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
1251,PO366103KITC-00000930,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
1252,PO366305SIGN-000944,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
1253,PO371039PXAM-0000014,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
1254,PO372347BANA-0000951,26. BL Payment Pending - In Transit,,On-Track,On-Track,Missing,Missing,-5,On-Track
1255,PO372373BOLT-0010502,26. BL Payment Pending - In Transit,,2,01-03,Missing,Missing,2,01-03
1256,PO372373BOLT-00128418,26. BL Payment Pending - In Transit,,4,04-08,Missing,Missing,4,04-08
1257,PO372373BOLT-001130149,26. BL Payment Pending - In Transit,,4,04-08,Missing,Missing,4,04-08
1258,PO372373BOLT-001240151,26. BL Payment Pending - In Transit,,4,04-08,Missing,Missing,4,04-08
1259,PO372395DONB-0002254,26. BL Payment Pending - In Transit,-7.0,5,04-08,-7.0,On-Track,5,04-08
1260,PO372434HAPP-0000292,29. Custom Clearance Pending,,Missing,Missing,Missing,Missing,Missing,Missing
1261,PO372450HYDB - 0001281,28. Telex Release Pending,-32.0,On-Track,On-Track,-32.0,On-Track,-25,On-Track
1262,PO372735GOER-0004981,29. Custom Clearance Pending,,Missing,Missing,Missing,Missing,Missing,Missing
1263,PO373229BAMO-0001371,30. Stock Delivery Pending,,On-Track,On-Track,Missing,Missing,-1,On-Track
1264,PO373301PROB-0000102,29. Custom Clearance Pending,,Missing,Missing,Missing,Missing,Missing,Missing
1265,PO373323PXIN-0001055,20. Pre Pickup Check,,16,15+,Missing,Missing,16,15+
1266,PO373387GOER-0003201,26. BL Payment Pending - In Transit,,On-Track,On-Track,Missing,Missing,-14,On-Track
1267,PO373983BAMO-00024512,19. Supplier Pickup Date Pending,2.0,On track,On track,2.0,01-03,9,09-15
1268,PO374003BLAC-0002233,30. Stock Delivery Pending,,On-Track,On-Track,Missing,Missing,-1,On-Track
1269,PO374007BOLT-00121719,22. Non FOB Pickup Pending,,2,01-03,Missing,Missing,2,01-03
1270,PO374086KETT-0000265,29. Custom Clearance Pending,,Missing,Missing,Missing,Missing,Missing,Missing
1271,PO374182PXHI-0000541,28. Telex Release Pending,,2,01-03,Missing,Missing,2,01-03
1272,PO374196PXIN-0000923,18. FFW Booking Missing,-3.0,3,01-03,-3.0,On-Track,3,01-03
1273,PO374199PXIP-0000427,22. Non FOB Pickup Pending,,On-Track,On-Track,Missing,Missing,-1,On-Track
1274,PO374203PXKE-0000355,26. BL Payment Pending - In Transit,,4,04-08,Missing,Missing,4,04-08
1275,PO374224PXPX-0002325,24. Mark In-Transit Pending,,2,01-03,Missing,Missing,2,01-03
1276,PO374250ROLA-0000141,23. INB Creation Pending,,4,04-08,Missing,Missing,4,04-08
1277,PO374313BEGR-00044112,10. PRD Confirmation Pending,,30,15+,Missing,Missing,30,15+
1278,PO374367BAMO-0002642,24. Mark In-Transit Pending,,2,01-03,Missing,Missing,2,01-03
1279,PO374441PXSA-00018349,29. Custom Clearance Pending,,14,09-15,Missing,Missing,14,09-15
1280,PO374875PXWE-0001545,24. Mark In-Transit Pending,,6,04-08,Missing,Missing,6,04-08
1281,PO375209LAVA-0000053,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
1282,PO375301BLAC-0002112,24. Mark In-Transit Pending,,6,04-08,Missing,Missing,6,04-08
1283,PO375312DONB-0000912,09. Under Production,,On-Track,On-Track,Missing,Missing,-2,On-Track
1284,PO375350LUMA-0001683,23. INB Creation Pending,,1,01-03,Missing,Missing,1,01-03
1285,PO375350LUMA-00001921,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
1286,PO375401PXPI-0000032,24. Mark In-Transit Pending,,6,04-08,Missing,Missing,6,04-08
1287,PO375418PXTN-0000103,14. SM Sign-Off Pending,,8,04-08,Missing,Missing,8,04-08
1288,PO375427PXWE-0000761,22. Non FOB Pickup Pending,,10,09-15,Missing,Missing,10,09-15
1289,PO375444WWAF-0002133,18. FFW Booking Missing,-3.0,3,01-03,-3.0,On-Track,3,01-03
1290,PO375484BEGR-0002996,10. PRD Confirmation Pending,,15,09-15,Missing,Missing,15,09-15
1291,PO3771662LBD-0001542,13. Batch Creation Pending,,On-Track,On-Track,Missing,Missing,-4,On-Track
1292,PO377177AMZY-0000321,11. IM Sign-Off Pending,,3,01-03,Missing,Missing,3,01-03
1293,PO377183BAMO-0002902,01. PO Approval Pending,-1.0,25,15+,-1.0,On-Track,25,15+
1294,PO377310PROB-0000021,09. Under Production,,On-Track,On-Track,Missing,Missing,-24,On-Track
1295,PO377353PXIN-00007421,09. Under Production,,On-Track,On-Track,Missing,Missing,-54,On-Track
1296,PO377353PXIN-00014135,09. Under Production,,On-Track,On-Track,Missing,Missing,-54,On-Track
1297,PO377399PXWE-0003802,09. Under Production,,On-Track,On-Track,Missing,Missing,-9,On-Track
1298,PO377442YIDB-0000842,05. PI Payment Pending,,8,04-08,Missing,Missing,8,04-08
1299,PO363395YUMA-0000101,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
1300,PO363457DONB-00001496,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
1301,PO365674BRUN-0000081,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
1302,PO365904GOER-00026733,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
1303,PO365921GOER-0004611,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
1304,PO366023HYDB - 0001808,30. Stock Delivery Pending,,11,09-15,Missing,Missing,11,09-15
1305,PO366270REGA-00000943,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
1306,PO366273REGA-00000837,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
1307,PO366381VDOM-00001210,29. Custom Clearance Pending,,8,04-08,Missing,Missing,8,04-08
1308,PO368069PXAM-0000022,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
1309,PO370219BLAC-00003613,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
1310,PO371134PXHE-0000021,32. Dispute - PO Closing Pending,,157,15+,Missing,Missing,157,15+
1311,PO372369BLAC-0002242,29. Custom Clearance Pending,,Missing,Missing,Missing,Missing,Missing,Missing
1312,PO372373BOLT-00122516,26. BL Payment Pending - In Transit,,4,04-08,Missing,Missing,4,04-08
1313,PO372373BOLT-001207142,26. BL Payment Pending - In Transit,,4,04-08,Missing,Missing,4,04-08
1314,PO372373BOLT-001249148,26. BL Payment Pending - In Transit,,4,04-08,Missing,Missing,4,04-08
1315,PO372395DONB-0000199,26. BL Payment Pending - In Transit,,1,01-03,Missing,Missing,1,01-03
1316,PO372404ENOV-000072,32. Dispute - PO Closing Pending,,27,15+,Missing,Missing,27,15+
1317,PO372537PROB-0000194,29. Custom Clearance Pending,,Missing,Missing,Missing,Missing,Missing,Missing
1318,PO372601PXIN-0001054,29. Custom Clearance Pending,,Missing,Missing,Missing,Missing,Missing,Missing
1319,PO372732GOER-0004081,29. Custom Clearance Pending,,Missing,Missing,Missing,Missing,Missing,Missing
1320,PO372743GOER-0005921,29. Custom Clearance Pending,,Missing,Missing,Missing,Missing,Missing,Missing
1321,PO372791PXFU-0000807,29. Custom Clearance Pending,,Missing,Missing,Missing,Missing,Missing,Missing
1322,PO373253ENNO-0000011,28. Telex Release Pending,,On-Track,On-Track,Missing,Missing,-2,On-Track
1323,PO373271IFAN-0000031,26. BL Payment Pending - In Transit,,On-Track,On-Track,Missing,Missing,-3,On-Track
1324,PO373304PROB-0000121,29. Custom Clearance Pending,,Missing,Missing,Missing,Missing,Missing,Missing
1325,PO373323PXIN-00000214,24. Mark In-Transit Pending,,8,04-08,Missing,Missing,8,04-08
1326,PO373326PXIN-0001584,21. FOB Pickup Pending,,7,04-08,Missing,Missing,7,04-08
1327,PO373637KIDZ-0000771,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
1328,PO373690BOLT-0013121,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
1329,PO374173PXFU-0001091,21. FOB Pickup Pending,,On-Track,On-Track,Missing,Missing,0,On-Track
1330,PO374175PXFU-0000031,30. Stock Delivery Pending,,On-Track,On-Track,Missing,Missing,-1,On-Track
1331,PO374196PXIN-00000211,18. FFW Booking Missing,-3.0,3,01-03,-3.0,On-Track,3,01-03
1332,PO374232PXPX-0001315,10. PRD Confirmation Pending,,On-Track,On-Track,Missing,Missing,0,On-Track
1333,PO374279WINB-0000022,26. BL Payment Pending - In Transit,,On-Track,On-Track,Missing,Missing,-1,On-Track
1334,PO374289ZORE-0000531,30. Stock Delivery Pending,,Missing,Missing,Missing,Missing,Missing,Missing
1335,PO374364BAMO-0002676,26. BL Payment Pending - In Transit,,2,01-03,Missing,Missing,2,01-03
1336,PO375302BOLT-0000071,26. BL Payment Pending - In Transit,-7.0,4,04-08,-7.0,On-Track,4,04-08
1337,PO375305BOTA-00004114,21. FOB Pickup Pending,,7,04-08,Missing,Missing,7,04-08
1338,PO375373PROB-0000471,19. Supplier Pickup Date Pending,,On-Track,On-Track,Missing,Missing,-2,On-Track
1339,PO375378PXDY-0000011,22. Non FOB Pickup Pending,,2,01-03,Missing,Missing,2,01-03
1340,PO375392PXIN-0001144,09. Under Production,,On-Track,On-Track,Missing,Missing,-2,On-Track
1341,PO375435STEAD-0000074,22. Non FOB Pickup Pending,,2,01-03,Missing,Missing,2,01-03
1342,PO377194BEST-0000411,19. Supplier Pickup Date Pending,,On-Track,On-Track,Missing,Missing,-4,On-Track
1343,PO377196BLAC-0002081,09. Under Production,,On-Track,On-Track,Missing,Missing,-3,On-Track
1344,PO377261JEWE-0000921,06. Packaging Pending,,8,04-08,Missing,Missing,8,04-08
1345,PO377271KNIT-0000033,10. PRD Confirmation Pending,,On-Track,On-Track,Missing,Missing,0,On-Track
1346,PO377311PROB-0000741,09. Under Production,,On-Track,On-Track,Missing,Missing,-84,On-Track
1347,PO377330PXCR-0000193,09. Under Production,,On-Track,On-Track,Missing,Missing,-9,On-Track
1348,PO377368PXPR-0001612,17. QC Schedule Pending,,On-Track,On-Track,Missing,Missing,-5,On-Track
1349,PO377400PXWE-0001821,B. Compliance Blocked,Status B,Missing,Missing,,Missing,Missing,Missing
1350,PO377442YIDB-0001437,05. PI Payment Pending,,8,04-08,Missing,Missing,8,04-08
1351,PO377452GOER-0006091,09. Under Production,,On-Track,On-Track,Missing,Missing,-4,On-Track
1352,PO377452GOER-00060922,09. Under Production,,On-Track,On-Track,Missing,Missing,-4,On-Track
1353,PO359395M2B4-00038731,C. Shipped,Status C,Missing,Missing,,Missing,Missing,Missing
1354,PO359395M2B4-00049349,C. Shipped,Status C,Missing,Missing,,Missing,Missing,Missing
1355,PO363662JEWE-00024940,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
1356,PO365674BRUN-0002533,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
